state,date,fossil,geo,hydro,nuclear,secondary,solar,wind,population
AK,2001-01-01,485509.641,,104549.118,,,,86.518,635956
AK,2001-02-01,455981.194,,90110.61,,,,74.12100000000001,636650
AK,2001-03-01,487191.377,,99843.153,,,,80.50200000000001,637344
AK,2001-04-01,404013.012,,84614.77100000001,,,,70.577,638038
AK,2001-05-01,399488.266,,85130.287,,,,69.214,638732
AK,2001-06-01,369581.654,,118354.45,,,,69.96,639426
AK,2001-07-01,433180.107,,120671.149,,,,73.551,640121
AK,2001-08-01,463438.415,,123283.514,,,,73.115,640815
AK,2001-09-01,485263.517,,154816.391,,,,86.363,641509
AK,2001-10-01,444703.898,,134917.653,,,,82.924,642203
AK,2001-11-01,461868.472,,102481.405,,,,85.884,642897
AK,2001-12-01,506935.35,,126892.498,,,,97.271,643591
AL,2001-01-01,7205926.116,,767601.0,2940300.0,402054.068,,,4483135
AL,2001-02-01,5764137.719,,953669.0,2515933.0,332352.536,,,4485907
AL,2001-03-01,5789995.167,,1392185.0,1873313.0,356176.005,,,4488679
AL,2001-04-01,5170003.535,,743092.0,1459636.0,347287.867,,,4491451
AL,2001-05-01,6629681.003,,421774.0,2677375.0,306728.816,,,4494223
AL,2001-06-01,7364002.907,,740900.0,2725271.0,353143.335,,,4496995
AL,2001-07-01,8345478.287,,531352.0,2830454.0,372310.051,,,4499767
AL,2001-08-01,8551350.807,,696783.0,2893037.0,372825.674,,,4502539
AL,2001-09-01,7281976.896,,572696.0,2819890.0,315165.047,,,4505311
AL,2001-10-01,7038047.034,,509049.0,2409155.0,342454.106,,,4508083
AL,2001-11-01,6585578.785,,493794.0,2488569.0,333806.755,,,4510855
AL,2001-12-01,6267481.208,,944350.0,2724130.0,362873.665,,,4513627
AR,2001-01-01,2466166.551,,272025.11,1028544.0,136586.348,,,2699672
AR,2001-02-01,1744173.54,,287399.614,1214538.0,125908.645,,,2701693
AR,2001-03-01,1650410.909,,324612.722,1030901.0,119334.497,,,2703714
AR,2001-04-01,1898680.778,,206341.328,1109159.0,135592.894,,,2705735
AR,2001-05-01,2140928.693,,159074.904,1321506.0,69021.64199999999,,,2707756
AR,2001-06-01,2503370.265,,256366.096,1285171.0,87959.016,,,2709777
AR,2001-07-01,2942399.565,,255404.65,1268434.0,97839.511,,,2711798
AR,2001-08-01,2883443.071,,179169.443,1318324.0,158061.616,,,2713819
AR,2001-09-01,2678353.889,,119672.035,1286283.0,135962.18,,,2715840
AR,2001-10-01,2465289.922,,127479.025,1333381.0,161095.439,,,2717861
AR,2001-11-01,2128823.415,,112558.127,1243740.0,141595.145,,,2719882
AR,2001-12-01,2848723.522,,248147.949,1340808.0,143274.92,,,2721903
AZ,2001-01-01,4213892.757,,607969.0,2733255.0,453.0,0.0,,5267282
AZ,2001-02-01,3887924.539,,526752.0,2186021.0,469.0,0.0,,5277793
AZ,2001-03-01,3825996.469,,727183.0,2753990.0,506.0,0.0,,5288305
AZ,2001-04-01,4602146.406,,704075.0,1837828.0,518.0,37.0,,5298816
AZ,2001-05-01,4989837.346,,671801.0,2266571.0,5344.0,43.0,,5309328
AZ,2001-06-01,4721106.815,,690906.0,2723830.0,4264.0,57.0,,5319839
AZ,2001-07-01,4935500.784,,769449.0,2700619.0,5722.0,73.0,,5330351
AZ,2001-08-01,4847468.215,,715875.0,2656410.0,5449.0,73.0,,5340862
AZ,2001-09-01,4304752.205,,494685.0,2616290.0,4941.0,76.0,,5351374
AZ,2001-10-01,4660082.545,,499745.0,1200058.0,4063.0,54.0,,5361885
AZ,2001-11-01,3996284.486,,539366.0,2262870.0,4015.0,38.0,,5372397
AZ,2001-12-01,4262905.555,,675759.0,2786334.0,3204.0,38.0,,5382909
CA,2001-01-01,10949620.794,1085733.313,1589584.649,2379998.0,509771.825,6500.0,130703.154,34238064
CA,2001-02-01,9511471.831,951164.499,1289699.409,2229872.0,410607.389,12568.0,144847.083,34266250
CA,2001-03-01,9963545.229,1052633.389,1764292.225,2468625.0,420739.371,31498.0,291964.799,34294436
CA,2001-04-01,9759380.72,966036.846,2095266.013,2318671.0,413483.068,38722.0,384063.38,34322622
CA,2001-05-01,10278759.421,960340.356,3043340.734,1667926.0,429192.453,81010.0,368448.76,34350808
CA,2001-06-01,9891350.336,960209.419,3051550.376,3100798.0,511513.346,91086.0,429129.366,34378994
CA,2001-07-01,11417186.462,1048478.877,3000819.992,3294607.0,500428.561,91921.0,432211.544,34407180
CA,2001-08-01,12022683.716,1037344.923,2806537.497,3280143.0,528715.017,85228.0,400463.909,34435366
CA,2001-09-01,9843082.931,1020035.733,2026689.172,3163653.0,481423.131,64730.0,288049.185,34463551
CA,2001-10-01,9364757.793,1022335.116,1819023.4,2960685.0,479549.942,20759.0,248272.795,34491737
CA,2001-11-01,7411921.898,1022454.013,1356777.233,3067781.0,447020.977,14251.0,140473.819,34519923
CA,2001-12-01,7938548.358,1054528.137,1684836.335,3286761.0,478211.173,3998.0,167326.093,34548109
CO,2001-01-01,4051450.507,,111346.946,,5159.913,,4927.746,4380120
CO,2001-02-01,3703448.581,,86630.454,,5291.416,,3109.716,4386186
CO,2001-03-01,3767472.231,,98212.31,,6032.58,,2732.232,4392252
CO,2001-04-01,3594727.579,,95425.042,,5258.107,,2927.656,4398318
CO,2001-05-01,3819616.753,,151592.825,,5502.017,,3342.181,4404385
CO,2001-06-01,3752510.673,,175294.136,,5059.296,,2487.738,4410451
CO,2001-07-01,4113912.626,,161609.861,,5717.211,,2135.371,4416517
CO,2001-08-01,4089651.911,,188280.02,,5909.802,,3642.97,4422583
CO,2001-09-01,3538951.278,,145638.252,,4897.909,,2839.428,4428649
CO,2001-10-01,3526266.178,,119926.139,,5408.413,,6128.974,4434715
CO,2001-11-01,3627534.381,,77601.687,,4760.436,,6223.488,4440781
CO,2001-12-01,3933503.968,,83146.326,,5206.899,,17215.74,4446848
CT,2001-01-01,1377449.485,,37537.092,1366126.0,149318.448,,,3423822
CT,2001-02-01,1051194.962,,33260.177,620610.0,147562.185,,,3425227
CT,2001-03-01,1525695.441,,33449.515,643005.0,184103.624,,,3426631
CT,2001-04-01,675232.9720000001,,60493.864,1368619.0,175732.156,,,3428035
CT,2001-05-01,845160.942,,24766.842,1342326.0,144016.63,,,3429440
CT,2001-06-01,1040338.181,,40871.396,1441469.0,138111.717,,,3430844
CT,2001-07-01,966300.6969999999,,14541.496,1464628.0,143738.655,,,3432249
CT,2001-08-01,1515723.236,,9186.489,1396871.0,141790.968,,,3433653
CT,2001-09-01,1121978.401,,8014.59,1435437.0,135701.286,,,3435058
CT,2001-10-01,971823.086,,7689.827,1491469.0,134926.98,,,3436462
CT,2001-11-01,709965.273,,5656.524,1372527.0,138770.745,,,3437866
CT,2001-12-01,1197574.024,,10904.959,1484680.0,144290.141,,,3439271
DC,2001-01-01,9251.0,,,,,,,575272
DC,2001-02-01,0.0,,,,,,,575519
DC,2001-03-01,0.0,,,,,,,575767
DC,2001-04-01,766.0,,,,,,,576014
DC,2001-05-01,5921.0,,,,,,,576261
DC,2001-06-01,488.0,,,,,,,576508
DC,2001-07-01,24107.0,,,,,,,576755
DC,2001-08-01,47587.0,,,,,,,577003
DC,2001-09-01,0.0,,,,,,,577250
DC,2001-10-01,3497.0,,,,,,,577497
DC,2001-11-01,31622.0,,,,,,,577744
DC,2001-12-01,0.0,,,,,,,577991
DE,2001-01-01,626138.694,,,,,,,795986
DE,2001-02-01,521098.839,,,,,,,796938
DE,2001-03-01,866772.855,,,,,,,797891
DE,2001-04-01,577016.667,,,,,,,798844
DE,2001-05-01,574412.906,,,,,,,799797
DE,2001-06-01,559123.944,,,,,,,800750
DE,2001-07-01,658145.0480000001,,,,,,,801702
DE,2001-08-01,931324.177,,,,,,,802655
DE,2001-09-01,440668.723,,,,,,,803608
DE,2001-10-01,536847.787,,,,,,,804561
DE,2001-11-01,314513.66,,,,,,,805514
DE,2001-12-01,201622.227,,,,,,,806466
FL,2001-01-01,13419483.776,,7830.0,2942999.0,564578.234,,,16287762
FL,2001-02-01,9600473.176,,7381.0,2631853.0,521188.12,,,16311253
FL,2001-03-01,10668048.552,,17460.0,2874087.0,554537.373,,,16334744
FL,2001-04-01,11872769.161,,15767.0,2367100.0,552342.04,,,16358235
FL,2001-05-01,12733264.193,,14158.0,2507996.0,560817.653,,,16381726
FL,2001-06-01,14669241.283,,12829.0,2840206.0,560160.834,,,16405217
FL,2001-07-01,15013314.054,,15215.0,2835310.0,567987.983,,,16428708
FL,2001-08-01,16356290.078,,17372.0,2790136.0,587251.5,,,16452200
FL,2001-09-01,13696411.518,,10418.0,2852004.0,547453.723,,,16475691
FL,2001-10-01,13051863.276,,8514.0,1856722.0,607299.307,,,16499182
FL,2001-11-01,10096307.479,,8976.0,2778384.0,588174.938,,,16522673
FL,2001-12-01,11178824.347,,11798.0,2306607.0,624313.667,,,16546164
GA,2001-01-01,7554158.749,,199437.249,3064367.0,261148.721,,,8349082
GA,2001-02-01,5155418.167,,158032.495,2765573.0,257028.621,,,8361593
GA,2001-03-01,6280078.863,,276500.655,2976878.0,256662.897,,,8374103
GA,2001-04-01,6536996.144,,198548.394,2244986.0,258396.47,,,8386612
GA,2001-05-01,6696022.955,,151377.6,2882791.0,249144.691,,,8399123
GA,2001-06-01,7293979.126,,229367.947,2927555.0,250487.494,,,8411633
GA,2001-07-01,8655078.158,,179360.013,3014152.0,259499.004,,,8424142
GA,2001-08-01,8795867.253,,197039.931,2878081.0,251082.991,,,8436653
GA,2001-09-01,6361581.399,,137385.623,2556682.0,221566.761,,,8449163
GA,2001-10-01,5418275.366,,144994.741,2481022.0,269311.888,,,8461672
GA,2001-11-01,4837957.435000001,,155293.044,2962950.0,243908.105,,,8474183
GA,2001-12-01,6012162.917,,158224.306,2926732.0,232474.033,,,8486693
HI,2001-01-01,863696.701,21137.0,6612.915000000001,,33016.155,,109.265,1227653
HI,2001-02-01,745827.387,15025.0,7783.841,,32100.956,,111.151,1228892
HI,2001-03-01,830230.416,18048.0,8007.915000000001,,16867.416,,160.03,1230132
HI,2001-04-01,767242.755,18061.0,9808.376,,40500.278,,265.127,1231372
HI,2001-05-01,812049.127,19538.0,8927.02,,45206.664,,142.245,1232611
