state,date,fossil,geo,hydro,nuclear,secondary,solar,wind,population,all sectors,commercial,industrial,residential
AK,2001-01-01,485509.641,0.0,104549.118,0.0,0.0,0.0,86.518,635956,12.263100000000001,11.931,8.6715,13.800600000000001
AK,2001-02-01,455981.194,0.0,90110.61,0.0,0.0,0.0,74.12100000000001,636650,12.201600000000001,12.115499999999999,8.892900000000001,14.0097
AK,2001-03-01,487191.377,0.0,99843.153,0.0,0.0,0.0,80.50200000000001,637344,13.4193,12.865800000000002,10.5534,15.018300000000002
AK,2001-04-01,404013.012,0.0,84614.77100000001,0.0,0.0,0.0,70.577,638038,13.0257,12.558300000000001,9.8154,14.7354
AK,2001-05-01,399488.266,0.0,85130.287,0.0,0.0,0.0,69.214,638732,12.976500000000001,12.558300000000001,9.409500000000001,14.919900000000002
AK,2001-06-01,369581.654,0.0,118354.45,0.0,0.0,0.0,69.96,639426,13.0134,12.5214,9.6924,15.141300000000001
AK,2001-07-01,433180.107,0.0,120671.149,0.0,0.0,0.0,73.551,640121,12.779700000000002,12.6075,8.696100000000001,15.2766
AK,2001-08-01,463438.415,0.0,123283.514,0.0,0.0,0.0,73.115,640815,13.2594,12.9396,9.6555,15.7317
AK,2001-09-01,485263.517,0.0,154816.391,0.0,0.0,0.0,86.363,641509,12.5952,12.361500000000001,8.5854,15.006
AK,2001-10-01,444703.898,0.0,134917.653,0.0,0.0,0.0,82.924,642203,13.7637,13.591500000000002,9.8523,15.9039
AK,2001-11-01,461868.472,0.0,102481.405,0.0,0.0,0.0,85.884,642897,13.1364,13.1364,8.5731,15.227400000000001
AK,2001-12-01,506935.35,0.0,126892.498,0.0,0.0,0.0,97.271,643591,13.2225,12.755099999999999,10.1598,14.8215
AL,2001-01-01,7205926.116,0.0,767601.0,2940300.0,402054.068,0.0,0.0,4483135,6.8142000000000005,7.921200000000001,4.8462,7.7859
AL,2001-02-01,5764137.719,0.0,953669.0,2515933.0,332352.536,0.0,0.0,4485907,6.5313,7.921200000000001,4.3788,8.1918
AL,2001-03-01,5789995.167,0.0,1392185.0,1873313.0,356176.005,0.0,0.0,4488679,7.2201,8.6592,4.9569,9.0774
AL,2001-04-01,5170003.535,0.0,743092.0,1459636.0,347287.867,0.0,0.0,4491451,7.0356,8.6469,4.8216,9.0282
AL,2001-05-01,6629681.003,0.0,421774.0,2677375.0,306728.816,0.0,0.0,4494223,6.888,7.9581,4.8093,8.892900000000001
AL,2001-06-01,7364002.907,0.0,740900.0,2725271.0,353143.335,0.0,0.0,4496995,6.8388,7.9335,4.5387,8.7822
AL,2001-07-01,8345478.287,0.0,531352.0,2830454.0,372310.051,0.0,0.0,4499767,7.1463,7.8843000000000005,4.8339,8.6715
AL,2001-08-01,8551350.807,0.0,696783.0,2893037.0,372825.674,0.0,0.0,4502539,7.109400000000001,7.8843000000000005,4.8585,8.708400000000001
AL,2001-09-01,7281976.896,0.0,572696.0,2819890.0,315165.047,0.0,0.0,4505311,6.8388,7.7982,4.551,8.6223
AL,2001-10-01,7038047.034,0.0,509049.0,2409155.0,342454.106,0.0,0.0,4508083,6.752700000000001,8.0196,4.4526,8.9667
AL,2001-11-01,6585578.785,0.0,493794.0,2488569.0,333806.755,0.0,0.0,4510855,6.6297,7.995,4.4649,8.8068
AL,2001-12-01,6267481.208,0.0,944350.0,2724130.0,362873.665,0.0,0.0,4513627,6.801900000000001,8.0442,4.4772,8.5731
AR,2001-01-01,2466166.551,0.0,272025.11,1028544.0,136586.348,0.0,0.0,2699672,6.9987,7.0356,5.153700000000001,8.4624
AR,2001-02-01,1744173.54,0.0,287399.614,1214538.0,125908.645,0.0,0.0,2701693,6.888,7.3431,4.9815,8.7453
AR,2001-03-01,1650410.909,0.0,324612.722,1030901.0,119334.497,0.0,0.0,2703714,7.0479,7.3554,5.1291,9.1266
AR,2001-04-01,1898680.778,0.0,206341.328,1109159.0,135592.894,0.0,0.0,2705735,7.4292,7.835100000000001,5.424300000000001,9.84
AR,2001-05-01,2140928.693,0.0,159074.904,1321506.0,69021.64199999999,0.0,0.0,2707756,7.5768,8.0073,5.6949,9.84
AR,2001-06-01,2503370.265,0.0,256366.096,1285171.0,87959.016,0.0,0.0,2709777,8.0319,8.1303,6.0146999999999995,10.209000000000001
AR,2001-07-01,2942399.565,0.0,255404.65,1268434.0,97839.511,0.0,0.0,2711798,7.9581,7.7120999999999995,5.9163,9.9138
AR,2001-08-01,2883443.071,0.0,179169.443,1318324.0,158061.616,0.0,0.0,2713819,8.0934,7.9458,5.817900000000001,9.975299999999999
AR,2001-09-01,2678353.889,0.0,119672.035,1286283.0,135962.18,0.0,0.0,2715840,7.921200000000001,7.810499999999999,5.7933,9.9261
AR,2001-10-01,2465289.922,0.0,127479.025,1333381.0,161095.439,0.0,0.0,2717861,6.9741,7.3554,5.1414,9.2127
